AKVAKULTURTILLATELSER PR. 13.04.2020;;;;;;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;
TILL_NR;ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;TILDELINGSTIDSPUNKT;TIDSBEGRENSET;TILL_KOMNR;TILL_KOM;FORMÅL;PRODUKSJONSFORM;ART;TILL_KAP;TILL_ENHET;LOK_NR;LOK_NAVN;LOK_KOMNR;LOK_KOM;LOK_PLASS;VANNMILJØ;LOK_KAP;LOK_ENHET;N_GEOWGS84;Ø_GEOWGS84
A A 0001;969159570;NORGES MILJØ- OG BIOVITENSKAPELIGE;POSTBOKS 5003;1432;ÅS;03-10-1991;;3021;ÅS;Kommersiell;MATFISK;Regnbueørret;0,00;TN;10362;NERFJØSET;3021;ÅS;LAND;FERSKVANN;6,50;TN;59.668083;10.758450
A A 0001;969159570;NORGES MILJØ- OG BIOVITENSKAPELIGE;POSTBOKS 5003;1432;ÅS;03-10-1991;;3021;ÅS;Kommersiell;MATFISK;Ørret;0,00;TN;10362;NERFJØSET;3021;ÅS;LAND;FERSKVANN;6,50;TN;59.668083;10.758450
A A 0001;969159570;NORGES MILJØ- OG BIOVITENSKAPELIGE;POSTBOKS 5003;1432;ÅS;03-10-1991;;3021;ÅS;Kommersiell;MATFISK;Laks;6,50;TN;10362;NERFJØSET;3021;ÅS;LAND;FERSKVANN;6,50;TN;59.668083;10.758450
A F 0001;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;05-02-1991;31-10-2028;3022;FROGN;Forskning;MATFISK;Ørret;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0001;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;05-02-1991;31-10-2028;3022;FROGN;Forskning;MATFISK;Laks;3,80;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0001;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;05-02-1991;31-10-2028;3022;FROGN;Forskning;MATFISK;Regnbueørret;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0002;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;31-03-2017;;3022;FROGN;Kommersiell;SETTEFISK;Rognkjeks (felles);3,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Brungylt;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Berggylt;3,70;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Gressgylt;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Havabbor;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Sandflyndre;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Torsk;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Tunge;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
